person_ref,qual_code,qual_name,granted,expires,status,authority,exercise
P-3101,Q-RLY,Relay maintenance,2025-09-14,2027-09-14,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-3145,Q-RLY,Relay maintenance,2025-04-02,2027-04-02,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-3388,Q-STK,Stores and fuel handling,2025-11-03,2027-11-03,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-3410,Q-CPX,Checkpoint control,2025-06-20,2027-06-20,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-3455,Q-CPX,Checkpoint control,2025-08-01,2027-08-01,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-3512,Q-AID,Aid station trauma,2026-01-12,2028-01-12,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-3560,Q-AID,Aid station trauma,2025-10-05,2027-10-05,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-3601,Q-STK,Stores and fuel handling,2025-03-19,2027-03-19,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-3690,Q-FEED,Feed exploitation,2025-07-22,2027-07-22,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-3722,Q-FEED,Feed exploitation,2026-02-11,2028-02-11,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-3755,Q-LIA,Liaison and language,2025-05-30,2027-05-30,current,Liaison Desk,NORTHWIND SHELF (SYNTHETIC)
P-3788,Q-LIA,Liaison and language,2025-09-09,2027-09-09,current,Liaison Desk,NORTHWIND SHELF (SYNTHETIC)
P-3844,Q-RLY,Relay maintenance,2026-03-03,2028-03-03,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-3877,Q-AID,Aid station trauma,2025-12-01,2027-12-01,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4102,Q-RLY,Relay maintenance,2024-12-15,2026-12-15,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4130,Q-STK,Stores and fuel handling,2025-02-02,2027-02-02,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4471,Q-RLY,Relay maintenance,2026-01-20,2028-01-20,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4478,Q-CPX,Checkpoint control,2025-11-11,2027-11-11,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-4483,Q-AID,Aid station trauma,2026-02-18,2028-02-18,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4497,Q-FEED,Feed exploitation,2025-10-30,2027-10-30,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-4519,Q-RLY,Relay maintenance,2022-11-30,2024-11-30,expired,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4527,Q-AID,Aid station trauma,2025-08-24,2027-08-24,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4541,Q-STK,Stores and fuel handling,2026-04-04,2028-04-04,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4655,Q-FEED,Feed exploitation,2025-12-19,2027-12-19,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-4703,Q-RLY,Relay maintenance,2026-05-06,2028-05-06,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4711,Q-CPX,Checkpoint control,2025-07-07,2027-07-07,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-4718,Q-AID,Aid station trauma,2024-06-30,2026-06-30,expired,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4725,Q-STK,Stores and fuel handling,2026-03-12,2028-03-12,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4733,Q-CPX,Checkpoint control,2026-01-29,2028-01-29,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-4749,Q-FEED,Feed exploitation,2025-09-28,2027-09-28,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-4756,Q-LIA,Liaison and language,2026-02-02,2028-02-02,current,Liaison Desk,NORTHWIND SHELF (SYNTHETIC)
P-4762,Q-STK,Stores and fuel handling,2023-12-31,2025-12-31,expired,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4770,Q-CPX,Checkpoint control,2025-10-10,2027-10-10,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-4780,Q-RLY,Relay maintenance,2026-04-21,2028-04-21,current,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4788,Q-AID,Aid station trauma,2025-11-16,2027-11-16,current,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4795,Q-STK,Stores and fuel handling,2026-06-08,2028-06-08,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4802,Q-FEED,Feed exploitation,2026-01-05,2028-01-05,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
P-4810,Q-LIA,Liaison and language,2025-08-18,2027-08-18,current,Liaison Desk,NORTHWIND SHELF (SYNTHETIC)
P-4817,Q-RLY,Relay maintenance,,,pending,Signals Desk,NORTHWIND SHELF (SYNTHETIC)
P-4831,Q-CPX,Checkpoint control,2026-05-23,2028-05-23,current,Movement Desk,NORTHWIND SHELF (SYNTHETIC)
P-4838,Q-AID,Aid station trauma,2024-05-31,2026-05-31,expired,Aid Station,NORTHWIND SHELF (SYNTHETIC)
P-4845,Q-STK,Stores and fuel handling,2025-12-14,2027-12-14,current,Supply Desk,NORTHWIND SHELF (SYNTHETIC)
P-4852,Q-FEED,Feed exploitation,2026-06-30,2028-06-30,current,Imagery Desk,NORTHWIND SHELF (SYNTHETIC)
